股票代码,券商简称,发布日期,研报标题,报告链接,研报文本,研究员
600499,中航证券有限公司,2011-12-01,科达机电(600499)跟踪报告：新型墙材迎来跨越式发展,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376072207750/index.phtml,"我们的观点:
环保墙材机械迎来跨越式发展 公司作为我国当之无愧的陶瓷机械龙头企业，2008年成立了墙材事业部进军墙材机械领域。公司所生产墙材机械主要适用于生产以固体废物如废渣、污泥等为原料的环保墙材。
早在1992年，国家多次发文要求各地逐步禁止生产粘土砖（俗称""红土砖""），并且国务院在2005年下发《国务院办公厅关于进一步推进墙体材料革新和推广节能建筑的通知》。但在我国房地产及建筑产业高速投资的拉动下，墙材的巨大需求一直呈现供不应求的局面，使得粘土砖屡禁不止，黑砖窑等社会事件屡有发生。
目前，环保砖仅占全国墙材消费量（粘土砖+环保砖）的6%左右，产业上下游存在巨大的存量替代空间。根据海源机械的招股说明书估计2009年全国墙材机械的存量在900台左右，我们根据科达和海源的公开资料估计，到2011年底全国新型墙材机械保有量不超过1500台。如果按照全国现有59%生产线五年内需要进行改造的假设条件下，不考虑新增产能的拉动情形，到2015年环保墙材机械存量改造的市场总量在240亿左右，年均市场需求为60亿元。收购新铭丰，实现强强联合
公司2011年7月份，公告拟收购芜湖新铭丰机械装备有限公司100%的股权。收购完成以后新铭丰成为公司全资子公司，收购代价待定。
我们认为收购新铭丰将优化公司墙材机械的销售渠道，降低销售费用，并且收购有利于公司墙材机械的生产以实现规模效应。目前在市场上墙材机械的市场集中度较高，主要厂商包括福建海源、广东科达、新铭丰、德国拉斯科等。如果政府相关方面确实加强监管以落实国家节能减排的总体规划，那么在5年以内行业间出现价格战的可能性很小，各方产品销售都能获取较高的利润水平。
我们调高公司2011-2012年公司墙材机械的收入预测为9340万-28400万，上调公司2012年每股收益0.2元到0.55元，维持买入评级。",冯钦远/薛俊/开文明/熊伟/范敏/刘名斌
600036,中信建投证券股份有限公司,2011-12-01,招商银行(600036)深度研究：“二次转型”提高风险定价能力 零售强行持续贡献低息负债,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376071704033/index.phtml,"二次转型实现内涵式发展：降低资本消耗，提高风险定价能力
招行属于行业内的领军者，经历5 年的“一次转型”后，2009年开始“二次转型”，即在业务重心转向零售和中小企业贷款的基础上，于2009 年开始旨在“用最小的资本消耗，实现盈利最大化”的又一次转型；具体目标是降低资本消耗、提高贷款风险定价、控制财务成本、增加价值客户、确保风险可控。
存贷款增速放缓，净息差已经触顶
2011 年3 季度，存款余额20003 亿，较上半年下降4%；贷款余额14925 亿，较上半年下降4%；生息资产收益率回升46 个基点，达到4.97%；付息负债成本率提高26 个基点，达到2.01%；
净息差提高20 个基点，达到2.96%。
从趋势看，4 季度后净息差将触顶回落。理由：4 季度信贷宽松，银行议价能力下降，生息资产收益率开始下降；由于吸存压力依然存在，付息负债成本率会处于高位，净息差将开始回落。
营业效率提高、资本金节约，资产质量改善
招行的成本收入比持续下降，经营效率开始明显改善，未来下降空间犹存；3 季度单季，贷存比名义达到监管红线，扣除500万小微贷款后贷存比只有73.84%，达到监管标准；拨贷比2.16%，拨贷比提高对业绩影响可忽略；资本金未变，但是资本充足率和核心资本充足率小幅提高；
350 亿配股融资充实资本金，有助于释放其基本面优势
招商第二次配股融资方案，融资规模350 亿元，10 股配2.2 股，配股价格是7.38 元/股。第二次配股融资完成后，招商的股本将提高到263 亿股，核心资本充足率提高2%，预计资本（核心资本）充足率将达到13.3%（10%），满足未来3-5 年的资本需求。
如果说“一卡通”和“一网通”成就了招行的零售银行业务，那末这次“二次转型”将成就招行成为资本金约束下经营的资本节约型银行。
招行业务特色和竞争力
1、零售银行业务业内领先；2、发达营销渠道和战略布局；3、高附加值的客户群体数量出现明显增加，客户的价值贡献提高；
4、充足的贷款拨备覆盖率；5、多样化的营收来源；6、EPS 高成长性，净利润增速稳定。
绝对估值法测算招行合理的价值区间是：（14.24，16）
按照绝对估值剩余价值法，招行合理的价格区间（14.24，18.17）；
按照线性回归分析法，招行合理价格区间（13.9，15.7）。如果按照共同的交叉区域来估算的话，招行合理的价格区间是（14.24，16）。
投资建议和估值
我们提出4 季度银行板块估值修复行情启动。基本理由是：2011 年4 季度到2012 年上半年，通胀率下降的速度将快于名义经济增长率下降的速度，从而经风险调整以后的实际经济增长率将回升；当行业实际增长率回升后，行业的估值提升理由充分；将银行体系等同为中国宏观经济，银行股估值提升理由充分。在行业性机会出现时，我们重点推荐业绩增长优势更为明显的银行。
2012 年，我们重点推荐招商的理由是：1、明年配股融资完成，释放银行信贷扩张空间，2、较低的付息负债成本率，3、较强的贷款议价能力，4、中间业务发展在业内领先。
预计2011/12 招行净利润同比增速分别为39%/20%，摊薄以后的EPS 分别为1.36/1.63，对应11/12 年的PE 为8.7/7.23，PB 为1.63/1.43。由于较强的零售银行业务和中间业务优势，招商的估值相对合理。在2012 年信贷宽松背景下，招商卓越的风险定价能力、领先的零售银行业务优势将继续确立其业内的领军地位，提升其估值空间。我们测算其合理价格区间为（14.24，16），维持“买入”评级。",杨荣/魏涛
600373,宏源证券股份有限公司,2011-12-01,中文传媒(600373)：强化主业 多元融资谋扩张,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376071703531/index.phtml,"投资要点：
传统教材教辅等出版发行确保公司业绩稳定增长
拟定向增发扩张出版产业链
参股新华联合发行有限公司，打造跨区域发行平台
报告摘要：
传统出版发行业务稳健，确保业绩稳步增长。公司作为江西省出版发行业龙头，占领了江西全省80%的教材出版份额，且依靠遍布全省的新华书店系统主导了全省的教材发行市场，近几年出版发行业务运行稳健，收入逐年上升。
产业结构优化提升估值。除经营教材教辅以及一般图书外，集团还利用全省大规模发行网络的优势，经营数码、音像电子产品等，成效显著；通过新华物流公司，在保证集团出版物物流配送的基础上，积极开拓第三方物流业务，并在新华书店系统中出于领先地位。集团投资业务可圈可点，公司第三季度收回部分集合资金信托投资产生收益达9933 万元，前三季度投资收益同比大幅增长445%，增厚EPS0.18 元。
参股新华联合发行有限公司，打造跨区域发行平台。公司全资子公司新华发行集团拟和中国出版集团公司共同出资重组新华联合发行有限公司，我们认为，公司投资参股重组新华联合发行有限公司，将受益于北京的出版资源，有利于公司实现公司跨区域发展。
定向增发扩张出版产业链。公司今年已经发行了5 亿元公司债券，增发预案已经公布，募集资金将投向新华文化城、现代出版物流港、环保包装印刷、印刷技术改造、江西晨报立体传播系统等5 个项目，均与公司的现有主营业务密切相关，是公司由传统优势产业进行扩张转型，实现产业融合的需要。我们认为，募投项目的实施，将有利于巩固和提高公司的市场地位，强化公司核心竞争力，提高公司的盈利水平。",王凤华
000933,海通证券股份有限公司,2011-12-01,神火股份(000933)深度报告：柳暗花明 预计明年净利高增长65%,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376071702983/index.phtml,"梁北矿和整合矿井贡献新增净利5.46亿元。2011年主力矿井梁北矿遇地质断层，遭受产量低于预期和成本大幅上涨双重打击，预计净利2.14亿元，2012年产量恢复正常，预计贡献净利6.03亿元，新增净利3.89亿元，归属母公司3.81亿元；整合矿井复产进程低于预期，预计产出在30-50万吨之间，整体盈亏平衡，2012年产量200万吨，权益产量110万吨，吨煤净利150元，贡献净利1.65亿元；
电解铝亏损3年有余，自备电厂和开工率提升，贡献新增净利3-4亿元。因2011年重启电解槽和开工率不足，上半年亏损2.68亿元，我们预计电解铝第3季度亏损2000多万元，预计2011年正常经营亏损3.2亿元左右。2011年12月600MW机组预计投产，电源保证率提升，同时自备电厂机组利用小时数较高，电解铝产能利用率提升，均将减少电解铝生产成本，我们预测电解铝和电厂合计，将比2011年增加3-4亿元净利。
累计亏损可抵税额近10亿元，未来几年将有2.5亿元所得税抵免。截至2010年底神火铝业累计可抵扣亏损约4亿，加上今年我们预计神火铝业全年正常经营亏损3.2亿元，再加上其它可抵扣亏损，总量接近10亿元，合计公司在未来可以少缴纳所得税0.25*10=2.5亿元，以公司当前股本16.8亿计算，对应EPS0.15元。
高资本开支年约22亿元，但财务杠杆率下降，拟增发募资缓解短期压力。因神火股份?仍处于高成长阶段，故大额资本开支无可避免。公司净负债率呈现逐步递减过程，2011-2013年122%、86%和49%。因经营现金流强劲，可以覆盖部分资本开支。估算募集资金额度21.5亿元，以年利率6%计算，可以节省1.29亿元财务费用，降低公司杠杆率。
盈利预测与投资建议。我们预测2011-2013年归属母公司净利润10.89亿元、17.99亿元和23.04亿元。YOY增长率-6%、65%和28%，对应2011-2013年EPS0.65元、1.07元和1.37元。结合DCF绝对估值和行业相对估值，给予12个月目标价16.05元，对应2011-2013年PE分别为25X、15X和12X,维持""买入""评级.
风险提示。煤炭产量低于预期风险，电解铝价格大幅下跌风险，资源税影响，安全生产风险。",朱洪波/刘惠莹
600763,海通证券股份有限公司,2011-12-01,通策医疗(600763)深度研究：打造中国杰出医疗投资集团,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376071224734/index.phtml,"中国民营口腔医疗服务市场快速发展。目前口腔医疗服务行业存在的问题是口腔医师紧缺、医师资源地域性分配不均、口腔疾病发病率高就诊率低。随着经济的发展、政策的放开、行业的规范，口腔医疗服务由""需要""转为""需求""。新医改背景下，国家鼓励形成多元化办医格局，民营口腔医疗机构数量2004-2009年CAGR为10%。
公司业务结构与同行形成错位竞争。公司主营口腔服务，其中业务结构侧重高毛利业务如正畸、种植和特需。公司依托杭州口腔医院，具有技术、服务和品牌基础，客户定位于30%低端人群、60%中端人群、10%高端人群，与公立医院和其他民营口腔连锁店形成错位竞争。
杭州口腔医院持续增长，宁波口腔医院将迎来新一轮高增长。杭州口腔医院持续盈利，""总院+分院""管理模式的成功，已成为公司走出杭州，布局全国的标杆。公司通过收购兼并，在宁波、沧州、黄石、衢州、北京、昆明布局多家口腔医院。宁波口腔医院增长趋势确定，有望成为第二个杭口，是公司重点培育对象。预计2012年底2013年初开始宁口将迎来新一轮高增长。
以口腔医疗为主业，向保健、护理领域外延发展。大专科，小综合是民营医院争夺市场份额的制胜法宝，公司定位于大型医院投资管理集团，在做大做强口腔医疗服务主业的基础上，积极寻求向妇幼等其他专科领域发展的机会。
抓住公立医院改革历史机遇，公司具有先发优势。公司在实践中逐步摸索出参与公立医院改革是公司扩张的最佳模式，公司管理层与部分地方政府长期建立了良好关系，且对医疗服务行业有深刻理解和丰富经验，在进入医疗服务投资管理领域具有先发优势，
盈利预测与估值。我们认为随着公司杭口业绩持续增长，已并购医院纷纷进入盈利期，公司未来业绩有望持续高增长，不排除继续收购并购的可能。我们预计2011-2013年EPS分别为0.45元，0.64元和0.89元。目标价为28元，对应2012年PE为43.75倍，维持""买入""评级。
主要不确定因素。管理风险、收购的持续性。",丁频
002433,德邦证券股份有限公司,2011-12-01,太安堂(002433)：百年太安堂 新品助增长,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376065518015/index.phtml,"五百年太安堂品牌，助力基业长青：太安堂是著名的中医药老字号，具有将近500年的历史，核心技术源自明代太医院。公司创始人柯树泉先生是太安堂始祖柯玉井公的第十三代传人，太安堂品牌在消费者心中有一定的市场地位，对公司产品的推广有促进作用。
麒麟丸和痛经软膏提供新的增长点：麒麟丸能够治疗男女性不孕不育症，具有独特的治疗效果和使用客户群，目前在科室推广较好，未来通过精细化营销和科室推广，在男科、妇科、生殖科以及泌尿科等科室的推广将为产品提供新的增长点；痛经软膏是公司代理产品，首先在广东、重庆和上海三个城市试点，是市场上少见的外用治疗痛经产品，广告的大量投入和营销队伍的建设将助力这一产品的爆发式增长。
五大事业部配合清晰产品定位：公司营销中心分为五大事业部，分别是麒麟丸事业部、OTC事业部、深度销售部、医院事业部和商务部。各事业部各司其职，分工明确，主业突出，麒麟丸事业部主要负责麒麟丸的销售推广，OTC事业部负责痛经软膏的销售，深度销售部负责第三终端的队伍建设，销售人员从300人扩充到600人左右。
新老产品共同维持业绩稳定增长：我们用波士顿矩阵将公司产品进行分类，皮肤类用药消炎癣湿膏具有良好的药效，独特的中药配方，不含激素，具有一定的竞争优势，属于现金牛产品，为公司发展提供稳定的现金流。新产品麒麟丸和痛经软膏使用领域的市场前景广阔，由于处于市场推广时期，市场占有率还较低，市场前景广阔，增长空间巨大。心宝丸由于定价过低和原材料成本上升的问题，公司和经销商获利空间不大，价格的理顺是当务之急。
风险提示：1. 代理产品痛经软膏的试点推广不顺利的风险；2. 麒麟丸在扩大科室精细化营销推广不顺利的风险；3. 大量存货减值损失的风险。
盈利预测及估值分析：预计未来三年的营业收入分别为4.11，5.58和7.45亿元；归属于母公司净利润分别为0.73，0.97和1.30亿元；每股收益分别为0.73，0.97和1.30元。按照2012年EPS，给予30倍PE，目标价为29.10元。",李项峰
000651,中银国际证券股份有限公司,2011-12-01,璞玉共精金＊公司＊格力电器(000651)：空调市场需求放缓,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376062827545/index.phtml,"支撑评级的要点
全国空调10 月单月产量614 万台，同比下降20.9%，环比下降12.6%；
内销398 万台，同比下降16.8%，环比下降17.8%；出口195.3 万台，同比下降23.7%，环比下降11.2%；库存1,026 万台，同比增长26.5%，环比提高2.1%。
今年前三季度公司利润率出现下滑，毛利率从去年的20.7%下降到17.7%，净利率从去年的6.5%下降到5.9%。由于近期原材料价格出现下跌，预计从四季度起，整体利润率水平将有所提升。此外，目前市场预期明年国家可能对变频空调实行补贴，如果这一政策得以实施，对于空调企业的盈利能力也将有所帮助。我们预期，明年公司毛利率和净利率将在19%和6%以上。
公司正在加大中央空调业务开拓，预计今年中央空调销售额将达到50亿，明年有望达到70-80 亿。中央空调具有更高的利润率水平，对于增强公司的盈利能力将有所帮助。我们预计公司未来三年仍将保持15-20%的稳定增长。
评级面临的主要风险
国际经济形势的不确定性对公司出口影响不确定。
房地产市场调控对于空调需求有一定抑制作用。
家电行业政策的不确定性。
估值
考虑到我国宏观经济不确定性因素较多，且房地产市场面临持续调控以及欧债危机等因素影响空调出口，我们小幅下调公司11-13 年每股盈利预测至1.876 元、2.18 元和2.545 元。基于11 倍2012 年市盈率，将目标价从28.50 元下调至24.00 元，维持对其买入评级。",刘会明
000719,中银国际证券股份有限公司,2011-12-01,璞玉共精金＊公司＊大地传媒(000719)：借壳上市价值分析,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376062825905/index.phtml,"未来增长方向
中长期发展目标： “导向正确、主业突出、具有强大市场竞争力和重要文化影响力”的国内先进的双百亿大型出版传媒企业。
3 年具体目标：人力资源管理平台、内容出版体系、文化创意产业体系、印刷基地和印刷物资流通基地、对外合作、资金运营平台、信息化、资本运营平台。
估值及投资建议不考虑二次资产注入，简单预计公司未来每年净利润增速15%左右，则2010-13 年净利润约1.32 亿元、1.54 亿元、1.76 亿元和1.99 亿元（2011-12 年业绩承诺为1.27 亿元和1.21 亿元），每股收益预计分别为0.30 元、0.35 元、0.40 元和0.45 元。
若考虑二次资产注入，以集团2010 年净利润2.63 亿元为基数，预计未来净利润增速16%左右，则2012-13 年净利润约3.57 亿元和4.08 亿元，每股收益约0.52 元、0.60元，二次资产注入增厚业绩约100%。2010 末扣除一次注入资产的股东权益后，集团剩余净资产约24.56 亿元，假设按10.03 元定增价，则摊薄总股本56%至6.85 亿股。",冯雪
002430,瑞银证券有限责任公司,2011-12-01,杭氧股份(002430)：节能要求促进气体高增长 电价调整不损气体毛利率,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376060961109/index.phtml,"节能要求促进气体高增长，电价调整不损气体毛利率
电价调整不损气体毛利率
根据发改委消息，12月1日起全国销售电价平均上调3分。工业气体成本的构成中80%是电费，气体价格的调整主要根据电费调整和CPI情况决定，调整周期一般一个月左右，时间在月初，因此我们认为此次电价上涨成本能完全转移给下游客户，价格的调整能够覆盖成本的上升，毛利率能够保持稳定。
节能减排要求促进工业气体需求高增长
我们认为电价调整之后对降低能耗，节能减排的要求更加迫切。燃烧不充分是高能耗的主要原因之一，提高燃烧时的氧气浓度，优化氧气供应流程，能够降低能耗，在锅炉富氧燃烧，污水处理，臭氧消毒，废旧金属回收等领域，工业气体应用广泛，我们相信节能环保要求将推动气体需求高增长。
气体项目进军新疆市场
公司11月24日公告与年产能新疆三五九钢铁签订供气合约，拟在新疆阿拉尔市设立新疆杭氧，并通过该公司实施2*20000m3/h气体项目。公司预计首套设备开始供气时间2013年2月，第二套供气时间2014年2月；项目总投资2.95亿元，其中资本金9000万元。
估值：维持35元目标价和“买入”评级
公司三季报每股收益0.57元，同比增长45%，公司预计全年归属于上市公司净利润同比增幅30%-50%。我们预计公司2012年业绩高增长，气体项目将量价齐升。我们维持公司2011-2013年每股收益0.84,1.16和1.59元的盈利预测，参考同类上市公司平均估值水平，给予2012年30倍市盈率水平，维持公司35元的目标价和“买入”评级。",景晓达/万玮
600050,国金证券股份有限公司,2011-12-01,中国联通(600050)点评：全年用户目标将超预期 业绩恐受拖累；,https://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/376053812343/index.phtml,"评论
10 月份联通单月新增用户已经达到292 万，后续两个月只需每月达到295.5 万便可完成全年2500 万目标，此次资费调整将进一步刺激用户的快速发展，预计全年目标将超预期完成，之前千元智能机的补贴率已经高达63%，本次调整之后千元智能机的补贴率将提到至87%，我们认为有以下几个原因促使联通采取如此激进措施：    （1）3G 用户已经达到爆发拐点，快速占领用户市场为首要目标：从09 年发放牌照以来，3G 用户数的发展一直不温不火，今年6 月份，联通宣布重新定义千元智能机，单月新增用户数连续5 个月出现环比正增长，其中千元智能机的贡献有目共睹，到今年9 月份，全国3G 用户数突破10%临界点，从以往的发展经验来看，后续用户数的发展将会加速，联通此举无疑是在当前用户数爆发的拐点上把握先机；（2）三家运营商竞争加剧，采取低价策略争取用户：初期移动和电信面临产业链不完善的窘境，均未采取大规模的补贴，然而从今年下半年开始，中国电信在手机款式方面已经不再处于弱势地位，再通过采取和固话、宽带的捆绑方式，使得3G 用户在9 月份达到282 万，又在近期推出了3 款新千元智能机以加速低端用户的拓展，中国移动手机款式相较其它两家数量不多，但从8 月底开始采取办理套餐送购物卡活动及其它资费优惠活动，在一定程度上保留住了一部分中高端用户，面对如此激烈的竞争，联通则采取了低价策略争取用户；
此次资费的调整会带来用户数更快的发展，全年用户数将超预期，但我们需要关注以下几个问题：（1）业绩恐受拖累：资费调整从今年12 月份开始，按照联通收入的计算方法，单个用户当期的通信产品收入将少计389 元（假使所有用户均选择66 元套餐），考虑到因资费调整会使得用户比原定用户多增加一部分，多增加用户的数量需达到原定用户的45%才能保证收入平衡，但通信产品成本将会大幅增加，因此两者都会对全年的业绩产生一定影响；
（2）下一步需关注网络质量，关注12 年资本投资状况：在之前的报告中我们就已经提到，3G 的发展将遵循终端为王、网络为王和业务为王，因此明年联通除了要继续大力发展用户之外，还必须要面对3G 网络的优化和扩容。
投资建议我们依旧维持前期观点，给予联通“买入”评级，目标价位6.38 元，下月需关注11 月份用户数据的披露及iPhone4S 的上市。",陈运红
